league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,823694,2026-06-13 18:10:00+00:00,Minnesota Twins,St. Louis Cardinals,6.0,9.0,Connor Prielipp,Matthew Liberatore,Target Field,R,Regular Season,True
MLB,822802,2026-06-13 19:07:00+00:00,Toronto Blue Jays,New York Yankees,1.0,3.0,Kevin Gausman,Cam Schlittler,Rogers Centre,R,Regular Season,True
MLB,822725,2026-06-13 20:05:00+00:00,Washington Nationals,Seattle Mariners,8.0,3.0,Cade Cavalli,Luis Castillo,Nationals Park,R,Regular Season,True
MLB,823369,2026-06-13 20:05:00+00:00,Pittsburgh Pirates,Miami Marlins,3.0,2.0,Bubba Chandler,Lake Bachar,PNC Park,R,Regular Season,True
MLB,824828,2026-06-13 20:05:00+00:00,Baltimore Orioles,San Diego Padres,3.0,9.0,Trey Gibson,Randy Vásquez,Oriole Park at Camden Yards,R,Regular Season,True
MLB,823616,2026-06-13 20:10:00+00:00,New York Mets,Atlanta Braves,1.0,3.0,Sean Manaea,Martín Pérez,Citi Field,R,Regular Season,True
MLB,824426,2026-06-13 20:10:00+00:00,Cleveland Guardians,Detroit Tigers,3.0,1.0,Joey Cantillo,Tarik Skubal,Progressive Field,R,Regular Season,True
MLB,824508,2026-06-13 20:10:00+00:00,Cincinnati Reds,Arizona Diamondbacks,2.0,1.0,Rhett Lowder,Michael Soroka,Great American Ball Park,R,Regular Season,True
MLB,824587,2026-06-13 20:10:00+00:00,Chicago White Sox,Los Angeles Dodgers,1.0,7.0,Sean Burke,Yoshinobu Yamamoto,Rate Field,R,Regular Season,True
MLB,824749,2026-06-13 20:10:00+00:00,Boston Red Sox,Texas Rangers,6.0,3.0,Ranger Suarez,Jacob deGrom,Fenway Park,R,Regular Season,True
MLB,823776,2026-06-13 23:10:00+00:00,Milwaukee Brewers,Philadelphia Phillies,8.0,9.0,Shane Drohan,Aaron Nola,American Family Field,R,Regular Season,True
MLB,824100,2026-06-13 23:10:00+00:00,Kansas City Royals,Houston Astros,7.0,8.0,Noah Cameron,Mike Burrows,Kauffman Stadium,R,Regular Season,True
MLB,823213,2026-06-14 02:05:00+00:00,San Francisco Giants,Chicago Cubs,1.0,6.0,Trevor McDonald,Ben Brown,Oracle Park,R,Regular Season,True
MLB,824995,2026-06-14 02:05:00+00:00,Athletics,Colorado Rockies,7.0,5.0,Joey Estes,Kyle Freeland,Las Vegas Ballpark,R,Regular Season,True
MLB,824019,2026-06-14 02:07:00+00:00,Los Angeles Angels,Tampa Bay Rays,8.0,0.0,José Soriano,Griffin Jax,Angel Stadium,R,Regular Season,True
MLB,823368,2026-06-14 16:15:00+00:00,Pittsburgh Pirates,Miami Marlins,2.0,4.0,Paul Skenes,Max Meyer,PNC Park,R,Regular Season,True
MLB,822722,2026-06-14 17:35:00+00:00,Washington Nationals,Seattle Mariners,10.0,1.0,PJ Poulin,Emerson Hancock,Nationals Park,R,Regular Season,True
MLB,824823,2026-06-14 17:35:00+00:00,Baltimore Orioles,San Diego Padres,2.0,5.0,Trevor Rogers,Walker Buehler,Oriole Park at Camden Yards,R,Regular Season,True
MLB,822801,2026-06-14 17:37:00+00:00,Toronto Blue Jays,New York Yankees,3.0,8.0,Patrick Corbin,Will Warren,Rogers Centre,R,Regular Season,True
MLB,823615,2026-06-14 17:40:00+00:00,New York Mets,Atlanta Braves,8.0,1.0,Freddy Peralta,Bryce Elder,Citi Field,R,Regular Season,True
MLB,824506,2026-06-14 17:40:00+00:00,Cincinnati Reds,Arizona Diamondbacks,3.0,5.0,Andrew Abbott,Zac Gallen,Great American Ball Park,R,Regular Season,True
