date,home_team,away_team,home_score,away_score,FTR,shots_home,shots_away,sot_home,sot_away,corners_home,corners_away
2025-08-08,For Sittard,Go Ahead Eagles,2,2,D,36,6,8,2,8,5
2025-08-09,Nijmegen,Excelsior,5,0,H,15,9,10,6,7,2
2025-08-09,Feyenoord,NAC Breda,2,0,H,20,7,4,0,3,4
2025-08-09,Heerenveen,Volendam,1,1,D,18,5,6,3,9,2
2025-08-09,PSV Eindhoven,Sparta Rotterdam,6,1,H,22,8,12,4,8,5
2025-08-10,Zwolle,Twente,1,0,H,7,16,2,4,2,4
2025-08-10,Ajax,Telstar,2,0,H,15,18,7,5,8,10
2025-08-10,AZ Alkmaar,Groningen,4,1,H,10,11,5,8,6,1
2025-08-10,Utrecht,Heracles,4,0,H,19,10,7,3,4,4
2025-08-15,Telstar,Zwolle,0,2,A,11,10,5,3,7,0
2025-08-16,Excelsior,Feyenoord,1,2,A,8,16,2,8,5,6
2025-08-16,Heracles,Nijmegen,1,4,A,13,24,6,11,3,7
2025-08-16,Groningen,Heerenveen,2,1,H,8,16,5,5,3,8
2025-08-17,Go Ahead Eagles,Ajax,2,2,D,9,22,4,11,6,9
2025-08-17,Sparta Rotterdam,Utrecht,2,1,H,15,20,5,5,5,6
2025-08-17,Twente,PSV Eindhoven,0,2,A,19,15,4,4,8,6
2025-08-17,Volendam,AZ Alkmaar,2,2,D,8,19,3,3,3,4
2025-08-17,NAC Breda,For Sittard,2,1,H,14,10,6,4,4,5
2025-08-23,Go Ahead Eagles,Sparta Rotterdam,0,3,A,19,13,6,5,12,1
2025-08-23,PSV Eindhoven,Groningen,4,2,H,23,17,7,6,6,4
