date,home_team,away_team,home_score,away_score,FTR,shots_home,shots_away,sot_home,sot_away,corners_home,corners_away
2025-08-23,Genoa,Lecce,0,0,D,5,7,2,0,3,7
2025-08-23,Sassuolo,Napoli,0,2,A,7,13,2,4,1,2
2025-08-23,Milan,Cremonese,1,2,A,24,4,6,3,9,2
2025-08-23,Roma,Bologna,1,0,H,14,10,4,2,2,4
2025-08-24,Cagliari,Fiorentina,1,1,D,14,4,6,1,3,2
2025-08-24,Como,Lazio,2,0,H,19,5,6,1,6,0
2025-08-24,Atalanta,Pisa,1,1,D,21,11,6,2,10,4
2025-08-24,Juventus,Parma,2,0,H,25,8,8,2,6,6
2025-08-25,Udinese,Verona,1,1,D,14,9,4,3,5,1
2025-08-25,Inter,Torino,5,0,H,20,12,9,4,6,5
2025-08-29,Cremonese,Sassuolo,3,2,H,11,9,6,6,5,4
2025-08-29,Lecce,Milan,0,2,A,7,14,2,6,4,5
2025-08-30,Bologna,Como,1,0,H,15,13,2,2,7,4
2025-08-30,Parma,Atalanta,1,1,D,7,11,3,3,1,2
2025-08-30,Napoli,Cagliari,1,0,H,20,10,6,1,13,0
2025-08-30,Pisa,Roma,0,1,A,7,10,3,5,1,7
2025-08-31,Genoa,Juventus,0,1,A,10,13,1,3,3,4
2025-08-31,Torino,Fiorentina,0,0,D,7,16,4,4,7,3
2025-08-31,Inter,Udinese,1,2,A,16,10,4,5,13,2
2025-08-31,Lazio,Verona,4,0,H,22,12,6,4,8,1
