datetime,weather_temp_c,weather_humidity_pct,weather_precip_mm,weather_wind_kmh,venue,weather_valid_time_utc,weather_available_at,weather_state,weather_source,weather_pit_quality
2019-03-01 00:00:00,6.3,98,0.0,3.9,東京ドーム,2019-02-28 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 01:00:00,6.2,97,0.0,3.9,東京ドーム,2019-02-28 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 02:00:00,6.1,97,0.0,4.0,東京ドーム,2019-02-28 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 03:00:00,6.4,96,0.3,4.7,東京ドーム,2019-02-28 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 04:00:00,6.0,98,0.3,4.0,東京ドーム,2019-02-28 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 05:00:00,6.0,94,0.3,6.0,東京ドーム,2019-02-28 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 06:00:00,5.8,91,0.2,5.9,東京ドーム,2019-02-28 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 07:00:00,5.7,91,0.4,5.1,東京ドーム,2019-02-28 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 08:00:00,6.1,85,0.1,5.2,東京ドーム,2019-02-28 23:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 09:00:00,7.5,75,0.0,4.8,東京ドーム,2019-03-01 00:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 10:00:00,8.2,69,0.0,4.1,東京ドーム,2019-03-01 01:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 11:00:00,9.5,64,0.0,2.1,東京ドーム,2019-03-01 02:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 12:00:00,10.6,58,0.0,1.8,東京ドーム,2019-03-01 03:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 13:00:00,11.6,54,0.0,1.9,東京ドーム,2019-03-01 04:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 14:00:00,12.4,49,0.0,1.8,東京ドーム,2019-03-01 05:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 15:00:00,12.4,44,0.0,1.8,東京ドーム,2019-03-01 06:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 16:00:00,12.7,43,0.0,2.1,東京ドーム,2019-03-01 07:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 17:00:00,12.0,46,0.0,4.1,東京ドーム,2019-03-01 08:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 18:00:00,10.8,52,0.0,3.7,東京ドーム,2019-03-01 09:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 19:00:00,10.4,54,0.0,4.2,東京ドーム,2019-03-01 10:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 20:00:00,9.9,51,0.0,4.4,東京ドーム,2019-03-01 11:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 21:00:00,8.3,63,0.0,6.4,東京ドーム,2019-03-01 12:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 22:00:00,8.2,56,0.0,7.1,東京ドーム,2019-03-01 13:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-01 23:00:00,8.0,50,0.0,9.0,東京ドーム,2019-03-01 14:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 00:00:00,7.7,42,0.0,10.1,東京ドーム,2019-03-01 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 01:00:00,7.5,42,0.0,10.9,東京ドーム,2019-03-01 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 02:00:00,7.3,43,0.0,11.1,東京ドーム,2019-03-01 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 03:00:00,6.7,47,0.0,11.3,東京ドーム,2019-03-01 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 04:00:00,6.2,47,0.0,8.4,東京ドーム,2019-03-01 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 05:00:00,5.9,49,0.0,9.3,東京ドーム,2019-03-01 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 06:00:00,5.7,49,0.0,9.7,東京ドーム,2019-03-01 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 07:00:00,5.8,48,0.0,10.3,東京ドーム,2019-03-01 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
